,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,new norfolk,-42.78,147.06,51.01,77,60,4.0,AU,1598569187
88,arraial do cabo,-22.97,-42.03,68.0,94,0,5.82,BR,1598569188
89,orastie,45.83,23.2,55.4,87,49,2.24,RO,1598569189
90,souillac,-20.52,57.52,71.6,73,40,2.24,MU,1598568939
91,krasnoarmeysk,51.02,45.7,68.0,59,76,4.0,RU,1598569192
92,pathein,16.78,94.73,77.99,90,100,4.72,MM,1598569193
93,tigil,57.8,158.67,48.33,84,100,4.56,RU,1598569194
94,tasiilaq,65.61,-37.64,33.8,73,99,9.17,GL,1598568949
95,shingu,33.73,135.98,84.2,74,40,2.24,JP,1598569196
96,usogorsk,63.41,48.69,48.07,90,64,5.28,RU,1598569197
97,mahon,39.89,4.27,75.2,94,18,5.82,ES,1598569177
98,tuktoyaktuk,69.45,-133.04,46.4,65,75,12.75,CA,1598569199
99,ponta delgada,37.73,-25.67,75.2,78,20,4.7,PT,1598569200
100,kandrian,-6.22,149.55,78.67,85,100,13.33,PG,1598569202
101,old town,44.93,-68.65,66.2,39,75,5.82,US,1598569203
102,los llanos de aridane,28.66,-17.92,78.8,69,4,14.99,ES,1598569206
103,kolosovka,56.47,73.61,52.16,91,76,4.94,RU,1598569207
104,flinders,-34.58,150.86,57.99,51,0,4.0,AU,1598569009
105,ravar,31.27,56.81,63.5,27,0,1.66,IR,1598569209
106,husavik,66.04,-17.34,48.2,70,90,18.34,IS,1598569210
107,puerto ayora,-0.74,-90.35,66.99,89,72,5.01,EC,1598569212
108,petropolis,59.89,30.26,53.6,93,90,4.47,RU,1598569213
109,zhangye,38.93,100.45,63.21,32,56,3.22,CN,1598569214
110,faya,18.39,42.45,68.0,93,81,7.49,SA,1598568975
111,kalmunai,7.42,81.82,78.33,79,50,3.85,LK,1598569217
112,tura,25.52,90.22,73.98,90,28,5.84,IN,1598569218
113,igrim,63.19,64.42,55.35,97,86,7.56,RU,1598569219
114,angoram,-4.06,144.07,82.72,76,20,2.55,PG,1598569220
115,longyearbyen,78.22,15.64,37.4,69,75,13.87,SJ,1598568958
116,caravelas,-17.71,-39.25,71.67,85,0,7.83,BR,1598569222
117,verkhoyansk,67.54,133.38,51.15,45,0,1.21,RU,1598569223
118,chiang khong,20.26,100.4,75.2,100,44,2.24,TH,1598569224
119,bandarbeyla,9.49,50.81,76.41,76,69,27.96,SO,1598569226
120,ville-marie,47.33,-79.43,55.4,93,90,5.82,CA,1598569086
121,orcopampa,-15.27,-72.34,51.62,46,3,7.31,PE,1598569228
122,benalla,-36.55,145.98,46.99,81,40,1.12,AU,1598569229
123,rzhev,56.26,34.33,55.98,97,100,4.68,RU,1598569230
124,muzhi,65.37,64.67,54.75,82,100,7.29,RU,1598569231
125,boende,-0.22,20.87,70.88,97,95,3.0,CD,1598569232
126,constitucion,-35.33,-72.42,48.4,76,7,5.21,CL,1598569234
127,cadiz,36.5,-5.75,75.99,63,0,3.0,ES,1598569235
128,kuzhorskaya,44.68,40.31,63.28,87,57,4.52,RU,1598569236
129,dalnerechensk,45.93,133.72,71.38,92,97,9.19,RU,1598569237
130,avarua,-21.21,-159.78,77.0,57,45,10.29,CK,1598568966
131,bethel,41.37,-73.41,71.6,88,90,8.05,US,1598569079
132,mackay,-21.15,149.2,70.0,82,40,12.75,AU,1598569240
133,shelburne,44.08,-80.2,73.99,78,90,11.41,CA,1598569241
134,azoyu,16.72,-98.73,77.99,90,100,5.57,MX,1598569243
135,cabo san lucas,22.89,-109.91,93.99,55,20,8.05,MX,1598568979
136,lompoc,34.64,-120.46,66.99,63,1,13.87,US,1598569191
137,kedrovyy,56.17,91.82,48.2,100,52,2.24,RU,1598569246
138,skibotn,69.39,20.27,44.6,75,75,10.29,NO,1598569247
139,chapada dos guimaraes,-15.46,-55.75,96.8,26,40,4.7,BR,1598569248
140,storsteinnes,69.24,19.23,44.6,100,95,14.99,NO,1598569249
141,dunkirk,51.05,2.37,63.0,85,89,5.01,FR,1598569251
142,sheregesh,52.92,87.99,49.39,93,100,3.15,RU,1598569252
143,lukovetskiy,64.3,41.92,50.0,87,75,4.47,RU,1598569253
144,port hardy,50.7,-127.42,59.0,87,40,4.7,CA,1598569254
145,moose factory,51.26,-80.61,51.8,81,90,4.7,CA,1598569255
146,norman wells,65.28,-126.83,57.2,71,75,8.05,CA,1598569257
147,puerto carreno,6.19,-67.49,80.94,83,100,3.76,CO,1598569258
148,mahebourg,-20.41,57.7,71.6,73,40,2.24,MU,1598568984
149,alofi,-19.06,-169.92,78.8,57,40,13.87,NU,1598569171
150,xiuyan,40.29,123.27,71.53,96,100,1.12,CN,1598569261
151,luebo,-5.35,21.42,67.01,91,100,1.21,CD,1598569262
152,lagoa,39.05,-27.98,74.25,88,100,5.1,PT,1598569196
153,atuona,-9.8,-139.03,78.87,74,65,18.16,PF,1598569264
154,guerrero negro,27.98,-114.06,86.41,51,0,16.4,MX,1598569136
155,yatou,37.15,122.38,73.56,94,85,5.28,CN,1598569267
156,santiago del estero,-27.8,-64.26,57.33,63,54,5.01,AR,1598569268
157,nioro,13.35,-15.75,75.52,95,100,5.88,GM,1598569269
158,olafsvik,64.89,-23.71,51.64,84,100,13.56,IS,1598569025
159,ribeira grande,38.52,-28.7,74.93,87,95,11.21,PT,1598569271
160,hays,30.05,-98.03,97.0,42,61,4.0,US,1598569272
161,umarkot,25.36,69.74,83.32,79,5,9.8,PK,1598569273
162,mar del plata,-38.0,-57.56,55.99,71,0,5.82,AR,1598569042
163,broken hill,-31.95,141.43,50.0,81,90,5.82,AU,1598569061
164,vostok,46.49,135.88,62.02,100,100,4.07,RU,1598569130
165,bengkulu,-3.8,102.27,74.73,82,50,3.76,ID,1598569278
166,coquimbo,-29.95,-71.34,55.4,71,40,9.17,CL,1598569279
167,lata,40.16,-8.33,69.01,89,35,1.99,PT,1598569280
168,college,64.86,-147.8,64.0,55,75,3.38,US,1598569281
169,saint-joseph,-21.37,55.62,68.0,60,17,4.7,RE,1598568992
170,tautira,-17.73,-149.15,84.2,62,75,6.93,PF,1598569280
171,nuuk,64.18,-51.72,48.2,76,75,1.12,GL,1598569284
172,hamilton,39.18,-84.53,82.99,74,1,3.36,US,1598569103
173,nyurba,63.28,118.33,50.04,53,30,1.23,RU,1598569286
174,antofagasta,-23.65,-70.4,57.2,76,40,20.8,CL,1598569168
175,clyde river,70.47,-68.59,51.8,71,75,2.24,CA,1598569289
176,blythe,33.61,-114.6,113.0,9,1,5.86,US,1598569203
177,bardiyah,31.76,25.09,75.47,84,0,10.98,LY,1598569291
178,nouakchott,18.09,-15.98,84.2,79,20,11.41,MR,1598569292
179,faanui,-16.48,-151.75,77.41,79,2,15.66,PF,1598569293
180,burnie,-41.07,145.92,55.99,52,33,15.01,AU,1598569294
181,klaksvik,62.23,-6.59,50.0,81,32,10.29,FO,1598569296
182,hualmay,-11.1,-77.61,63.14,81,33,10.89,PE,1598569297
183,muscatine,41.47,-91.13,91.4,46,1,10.29,US,1598569108
184,vrangel,42.73,133.08,72.5,91,93,7.96,RU,1598569299
185,fengkou,30.08,113.27,73.47,85,0,4.65,CN,1598569300
186,axim,4.87,-2.24,75.81,86,29,9.08,GH,1598569301
187,ostrovnoy,68.05,39.51,46.09,79,100,23.67,RU,1598569302
188,komsomolskiy,40.43,71.72,62.6,82,0,0.47,UZ,1598569303
189,coahuayana,18.73,-103.68,71.6,83,90,6.42,MX,1598569304
190,raga,8.46,25.68,70.68,92,79,2.71,SS,1598569306
191,hami,42.8,93.45,71.89,23,80,13.96,CN,1598569307
192,ca mau,9.18,105.15,79.0,88,100,4.54,VN,1598569308
193,portland,45.52,-122.68,84.0,28,20,16.11,US,1598569015
194,anage,-14.61,-41.14,72.95,59,23,7.49,BR,1598569310
195,ambilobe,-13.2,49.05,64.71,86,70,4.29,MG,1598569311
196,champerico,14.3,-91.92,77.0,88,90,4.7,GT,1598569312
197,port blair,11.67,92.75,81.39,72,100,6.49,IN,1598569313
198,sitka,57.05,-135.33,59.0,62,90,13.87,US,1598569142
199,grindavik,63.84,-22.43,48.2,81,75,10.29,IS,1598569315
200,muros,42.78,-9.06,66.0,93,70,1.01,ES,1598569196
201,varkkallai,8.73,76.71,80.6,83,20,5.82,IN,1598569317
202,camana,-16.62,-72.71,61.66,81,79,7.96,PE,1598569319
203,poum,-20.23,164.02,68.85,80,96,10.92,NC,1598569320
204,alaca,40.17,34.84,60.39,63,27,4.0,TR,1598569321
205,skelleftea,64.75,20.95,43.0,100,18,4.7,SE,1598569322
206,bilibino,68.05,166.44,43.25,76,100,2.73,RU,1598569323
207,solnechnyy,50.72,136.63,58.91,85,100,7.23,RU,1598569324
208,ayan,56.45,138.17,52.2,87,94,3.98,RU,1598569325
209,malpura,26.28,75.38,80.04,74,7,7.78,IN,1598569326
210,aklavik,68.22,-135.01,42.8,70,90,3.36,CA,1598569327
211,muridke,31.8,74.26,75.2,88,40,4.7,PK,1598569328
212,lorengau,-2.02,147.27,84.85,69,2,6.78,PG,1598569330
213,hanmer springs,-42.52,172.82,49.48,57,31,7.29,NZ,1598569331
214,nikolskoye,59.7,30.79,53.6,93,90,4.47,RU,1598569332
215,changli,39.7,119.15,69.44,84,66,3.69,CN,1598569333
216,port elizabeth,-33.92,25.57,59.0,72,0,18.34,ZA,1598569334
217,maniitsoq,65.42,-52.9,48.65,66,100,5.61,GL,1598569335
218,lebanon,36.21,-86.29,86.0,70,1,4.7,US,1598569336
219,ancud,-41.87,-73.82,46.0,100,90,6.93,CL,1598569338
220,ashland,40.82,-82.27,87.8,58,1,19.46,US,1598569092
221,acajutla,13.59,-89.83,78.8,100,40,2.24,SV,1598569340
222,camopi,3.17,-52.32,74.82,95,71,2.17,GF,1598569341
223,deori khas,23.4,79.02,74.07,93,83,10.4,IN,1598569342
224,lithakia,37.72,20.83,73.4,73,0,2.98,GR,1598569343
225,praia,14.92,-23.51,80.6,83,75,4.7,CV,1598569344
226,san cristobal,7.77,-72.22,89.6,46,40,10.29,VE,1598569345
227,bandar-e lengeh,26.56,54.88,89.38,67,1,12.59,IR,1598569347
228,praya,14.92,-23.51,80.6,83,75,4.7,CV,1598569344
